,Date,Team,Acquired,Relinquished,Notes
14770,2009-11-26,Bulls,Aaron Gray,,activated from IL
14771,2009-11-26,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14772,2009-11-26,Jazz,,Kyrylo Fesenko,stomach virus (DNP)
14773,2009-11-26,Jazz,,Ronnie Price,sprained left big toe (DNP)
14774,2009-11-26,Magic,,Jameer Nelson,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
14775,2009-11-26,Pistons,,Ben Gordon,left ankle injury (DTD)
14776,2009-11-27,76ers,,Elton Brand,sore right hamstring (DNP)
14777,2009-11-27,76ers,,Lou Williams,recovering from surgery to repair fractured jaw (DNP)
14778,2009-11-27,Blazers,,Travis Outlaw,recovering from surgery on left foot to repair stress fracture (DNP)
14779,2009-11-27,Bobcats,,Acie Law,placed on IL
14780,2009-11-27,Bobcats,DeSagana Diop,,activated from IL
14781,2009-11-27,Cavaliers,Shaquille O'Neal,,activated from IL
14782,2009-11-27,Kings,,Spencer Hawes,bruised right knee (DNP)
14783,2009-11-27,Magic,,Jason Williams,placed on IL
14784,2009-11-27,Mavericks,,Quinton Ross,sore lower back (DNP)
14785,2009-11-27,Nets,,Eduardo Najera,sore lower back (DNP)
14786,2009-11-27,Nets,,Jianlian Yi,sprained MCL in right knee (DNP)
14787,2009-11-27,Pacers,,A.J. Price,placed on IL
14788,2009-11-27,Pacers,,Josh McRoberts,placed on IL
14789,2009-11-27,Pacers,Danny Granger,,activated from IL
14790,2009-11-27,Pacers,Mike Dunleavy Jr.,,activated from IL
14791,2009-11-27,Pistons,,Ben Gordon,left ankle injury (DNP)
14792,2009-11-27,Spurs,,Marcus Haislip,placed on IL
14793,2009-11-27,Spurs,Theo Ratliff,,activated from IL
14794,2009-11-27,Suns,,Alando Tucker,placed on IL
14795,2009-11-27,Suns,Robin Lopez,,activated from IL
14796,2009-11-27,Thunder,,Kevin Ollie,sore right knee (DNP)
14797,2009-11-27,Thunder,,Kyle Weaver,placed on IL with separated left shoulder
14798,2009-11-27,Thunder,Shaun Livingston,,activated from IL
14799,2009-11-28,Bucks,,Michael Redd,strained patella tendon in left knee (DNP)
14800,2009-11-28,Cavaliers,,Danny Green,placed on IL
14801,2009-11-28,Cavaliers,Jawad Williams,,activated from IL (P)
14802,2009-11-28,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14803,2009-11-28,Jazz,,Ronnie Price,sprained left big toe (DNP)
14804,2009-11-28,Mavericks,,Quinton Ross,sore lower back (DNP)
14805,2009-11-28,Warriors,,Andris Biedrins,strained lower back (DNP)
14806,2009-11-28,Warriors,,Kelenna Azubuike,recovering from surgery on left knee to repair torn patellar tendon (DNP)
14807,2009-11-28,Warriors,,Raja Bell,recovering from surgery on left wrist (DNP)
14808,2009-11-29,76ers,,Elton Brand,sore right hamstring (DNP)
14809,2009-11-29,76ers,,Lou Williams,recovering from surgery to repair fractured jaw (DNP)
14810,2009-11-29,Clippers,,Brian Skinner,placed on IL
14811,2009-11-29,Clippers,DeAndre Jordan,,activated from IL
14812,2009-11-29,Heat,,Yakhouba Diawara,placed on IL
14813,2009-11-29,Heat,Quentin Richardson,,activated from IL
14814,2009-11-29,Hornets,,Morris Peterson,knee injury (DTD)
14815,2009-11-29,Hornets,Hilton Armstrong,,activated from IL
14816,2009-11-29,Kings,,Spencer Hawes,bruised right knee (DNP)
14817,2009-11-29,Magic,,Jameer Nelson,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
14818,2009-11-29,Nets,,Eduardo Najera,sore lower back (DNP)
14819,2009-11-29,Nets,,Jianlian Yi,sprained MCL in right knee (DNP)
14820,2009-11-29,Nuggets,,Renaldo Balkman,placed on IL
14821,2009-11-29,Nuggets,Johan Petro,,activated from IL
14822,2009-11-29,Pistons,,Ben Gordon,sprained left ankle (DNP)
14823,2009-11-29,Spurs,,Roger Mason Jr.,placed on IL
14824,2009-11-29,Spurs,Manu Ginobili,,activated from IL
14825,2009-11-29,Thunder,,Kevin Ollie,sore right knee (DNP)
14826,2009-11-29,Thunder,,Nenad Krstic,sore left Achilles tendon (DNP)
14827,2009-11-30,76ers,,Lou Williams,recovering from surgery to repair fractured jaw (DNP)
14828,2009-11-30,Bucks,,Michael Redd,placed on IL with strained patella tendon in left knee
14829,2009-11-30,Bucks,Andrew Bogut,,activated from IL
14830,2009-11-30,Grizzlies,,Mike Conley Jr.,strained left shoulder (DTD)
14831,2009-11-30,Jazz,,Andrei Kirilenko,strained lower back (DNP)
14832,2009-11-30,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14833,2009-11-30,Jazz,,Ronnie Price,sprained left big toe (DNP)
14834,2009-11-30,Mavericks,,Quinton Ross,placed on IL with sore lower back
14835,2009-11-30,Mavericks,Erick Dampier,,activated from IL
14836,2009-11-30,Thunder,,Kevin Ollie,surgery on right knee to repair pain in patellar tendon (out indefinitely)
14837,2009-11-30,Thunder,,Kyle Weaver,surgery on separated left shoulder (out indefinitely)
14838,2009-11-30,Warriors,,Andris Biedrins,strained lower back (DNP)
14839,2009-11-30,Warriors,,Kelenna Azubuike,recovering from surgery on left knee to repair torn patellar tendon (DNP)
14840,2009-11-30,Warriors,,Raja Bell,recovering from surgery on left wrist (DNP)
14841,2009-12-01,Blazers,,LaMarcus Aldridge,bruised right knee bone (DNP)
14842,2009-12-01,Blazers,,Travis Outlaw,recovering from surgery on left foot to repair stress fracture (DNP)
14843,2009-12-01,Suns,,Leandro Barbosa,placed on IL with sprained left ankle
14844,2009-12-01,Suns,Alando Tucker,,activated from IL
14845,2009-12-01,Warriors,,Anthony Randolph,sprained left ankle (DNP)
14846,2009-12-01,Warriors,,Kelenna Azubuike,recovering from surgery on left knee to repair torn patellar tendon (DNP)
14847,2009-12-01,Warriors,,Raja Bell,recovering from surgery on left wrist (DNP)
14848,2009-12-02,76ers,,Lou Williams,recovering from surgery to repair fractured jaw (DNP)
14849,2009-12-02,Cavaliers,,Jawad Williams,placed on IL
14850,2009-12-02,Cavaliers,Danny Green,,activated from IL
14851,2009-12-02,Clippers,,Eric Gordon,placed on IL with strained groin / hamstring injury
14852,2009-12-02,Clippers,Brian Skinner,,activated from IL
14853,2009-12-02,Grizzlies,Mike Conley Jr.,,returned to lineup
14854,2009-12-02,Knicks,,Nate Robinson,DNP
14855,2009-12-02,Magic,,Jameer Nelson,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
14856,2009-12-02,Nets,,Eduardo Najera,sore lower back (DNP)
14857,2009-12-02,Nets,,Rafer Alston,sore left knee (DNP)
14858,2009-12-02,Nets,,Jianlian Yi,sprained MCL in right knee (DNP)
14859,2009-12-02,Pistons,,Charlie Villanueva,fractured nose (DNP)
14860,2009-12-02,Raptors,,Antoine Wright,DNP
14861,2009-12-02,Thunder,,Kevin Ollie,placed on IL recovering from surgery on right knee to repair pain in patellar tendon
14862,2009-12-02,Thunder,Nick Collison,,activated from IL
14863,2009-12-03,Spurs,,Malik Hairston,placed on IL
14864,2009-12-03,Spurs,Roger Mason Jr.,,activated from IL
14865,2009-12-03,Warriors,,Andris Biedrins,strained lower back (DNP)
14866,2009-12-03,Warriors,,Kelenna Azubuike,recovering from surgery on left knee to repair torn patellar tendon (DNP)
14867,2009-12-03,Warriors,,Raja Bell,placed on IL recovering from surgery on left wrist
14868,2009-12-03,Warriors,,Ronny Turiaf,sprained left knee (DNP)
14869,2009-12-03,Warriors,Devean George,,activated from IL
14870,2009-12-04,Blazers,,Nate McMillan,head coach suffered torn right Achilles tendon
14871,2009-12-04,Bucks,,Francisco Elson,placed on IL
14872,2009-12-04,Bucks,Luc Mbah a Moute,,activated from IL
14873,2009-12-04,Heat,Chris Quinn,,activated from IL
14874,2009-12-04,Hornets,,Morris Peterson,placed on IL
14875,2009-12-04,Hornets,,Sean Marks,placed on IL
14876,2009-12-04,Hornets,Chris Paul,,activated from IL
14877,2009-12-04,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14878,2009-12-04,Jazz,,Ronnie Price,placed on IL with sprained left big toe
14879,2009-12-04,Jazz,C.J. Miles,,activated from IL
14880,2009-12-04,Knicks,,Danilo Gallinari,sore right forearm (DNP)
14881,2009-12-04,Knicks,,Nate Robinson,DNP
14882,2009-12-04,Nets,,Eduardo Najera,placed on IL with sore lower back
14883,2009-12-04,Nets,,Rafer Alston,sore left knee (DNP)
14884,2009-12-04,Nets,,Trenton Hassell,DNP
14885,2009-12-04,Nets,,Jianlian Yi,placed on IL with sprained MCL in right knee
14886,2009-12-04,Nets,Keyon Dooling,,activated from IL
14887,2009-12-04,Nets,Tony Battie,,activated from IL
14888,2009-12-04,Thunder,,Nenad Krstic,sprained left ankle (DNP)
14889,2009-12-04,Timberwolves,,Brian Cardinal,placed on IL
14890,2009-12-04,Timberwolves,Kevin Love,,activated from IL
14891,2009-12-04,Wizards,,DeShawn Stevenson,illness (DTD)
14892,2009-12-05,76ers,,Jrue Holiday,strained rotator cuff in right shoulder (DNP)
14893,2009-12-05,76ers,,Lou Williams,placed on IL recovering from surgery to repair fractured jaw
14894,2009-12-05,Blazers,,Rudy Fernandez,sore back (DNP)
14895,2009-12-05,Blazers,,Travis Outlaw,recovering from surgery on left foot to repair stress fracture (DNP)
14896,2009-12-05,Clippers,,Brian Skinner,placed on IL
14897,2009-12-05,Clippers,Eric Gordon,,activated from IL
14898,2009-12-05,Jazz,,Andrei Kirilenko,sore lower back (DNP)
14899,2009-12-05,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14900,2009-12-05,Magic,,Jameer Nelson,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
14901,2009-12-05,Nuggets,,Renaldo Balkman,placed on IL (P)
14902,2009-12-05,Nuggets,Johan Petro,,activated from IL (P)
14903,2009-12-05,Suns,,Lou Amundson,placed on IL with flu
14904,2009-12-05,Suns,Taylor Griffin,,activated from IL
14905,2009-12-05,Warriors,,Andris Biedrins,strained lower back (DNP)
14906,2009-12-05,Warriors,,Ronny Turiaf,sprained left knee (DNP)
14907,2009-12-06,Blazers,,Patty Mills,surgery on broken right foot (out indefinitely)
14908,2009-12-06,Cavaliers,,Jamario Moon,placed on IL with groin injury
14909,2009-12-06,Cavaliers,Coby Karl,,activated from IL
14910,2009-12-06,Celtics,,Marquis Daniels,left wrist injury (DTD)
14911,2009-12-06,Heat,,Daequan Cook,placed on IL
14912,2009-12-06,Heat,Shavlik Randolph,,activated from IL
14913,2009-12-06,Heat,Yakhouba Diawara,,activated from IL
14914,2009-12-06,Spurs,,Michael Finley,sprained left ankle (DNP)
14915,2009-12-06,Blazers,,Greg Oden,fractured left kneecap (out for season)
14916,2009-12-06,Blazers,,Greg Oden,surgery on left knee to repair fractured kneecap (out for season)
14917,2009-12-07,76ers,,Jrue Holiday,strained rotator cuff in right shoulder (DNP)
14918,2009-12-07,Blazers,,Greg Oden,recovering from surgery on left knee to repair fractured kneecap (DNP)
14919,2009-12-07,Blazers,,Nate McMillan,surgery to repair torn right Achilles tendon
14920,2009-12-07,Blazers,,Rudy Fernandez,sore back (DNP)
14921,2009-12-07,Blazers,,Travis Outlaw,recovering from surgery on left foot to repair stress fracture (DNP)
14922,2009-12-07,Jazz,,Andrei Kirilenko,strained lower back (DNP)
14923,2009-12-07,Jazz,,Kyle Korver,placed on IL recovering from surgery on left knee to remove bone spur
14924,2009-12-07,Knicks,,Marcus Landry,placed on IL
14925,2009-12-07,Knicks,Eddy Curry,,activated from IL
14926,2009-12-07,Nuggets,,Malik Allen,placed on IL
14927,2009-12-07,Nuggets,Johan Petro,,activated from IL (P)
14928,2009-12-07,Spurs,,Michael Finley,placed on IL with sprained left ankle
14929,2009-12-07,Spurs,Malik Hairston,,activated from IL
14930,2009-12-07,Warriors,,Andris Biedrins,strained groin (DNP)
14931,2009-12-07,Warriors,,Ronny Turiaf,sprained left knee (DNP)
14932,2009-12-07,Jazz,Ronnie Price,,activated from IL
14933,2009-12-07,Jazz,,Ronnie Price,sprained left big toe (DNP)
14934,2009-12-08,Blazers,,Rudy Fernandez,surgery on back to repair nerve pressure (out indefinitely)
14935,2009-12-08,Cavaliers,,Coby Karl,placed on IL
14936,2009-12-08,Cavaliers,Jawad Williams,,activated from IL
14937,2009-12-08,Celtics,Tony Allen,,activated from IL
14938,2009-12-08,Clippers,,Ricky Davis,placed on IL
14939,2009-12-08,Clippers,Brian Skinner,,activated from IL
14940,2009-12-08,Kings,,Omri Casspi,lower back spasms (DNP)
14941,2009-12-08,Magic,,Jameer Nelson,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
14942,2009-12-08,Mavericks,,Matt Carroll,placed on IL
14943,2009-12-08,Mavericks,Josh Howard,,activated from IL
14944,2009-12-08,Nuggets,,Kenyon Martin ,dislocated left pinky finger (DNP)
14945,2009-12-08,Pacers,,Danny Granger,torn plantar fascia in right foot (out indefinitely)
14946,2009-12-08,Raptors,,Jose Calderon,placed on IL with sore left hip
14947,2009-12-08,Raptors,Marcus Banks,,activated from IL
14948,2009-12-08,Suns,Lou Amundson,,activated from IL
14949,2009-12-08,Timberwolves,,Nathan Jawai,placed on IL with food poisoning
14950,2009-12-08,Timberwolves,Brian Cardinal,,activated from IL
14951,2009-12-08,Celtics,,Marquis Daniels,surgery on left thumb to repair torn ligament
14952,2009-12-08,Celtics,,Marquis Daniels,placed on IL with torn ligament in left thumb
14953,2009-12-09,76ers,,Jrue Holiday,strained rotator cuff in right shoulder (DNP)
14954,2009-12-09,Blazers,,Greg Oden,recovering from surgery on left knee to repair fractured kneecap (DNP)
14955,2009-12-09,Blazers,,Rudy Fernandez,recovering from surgery on back to repair nerve pressure (DNP)
14956,2009-12-09,Blazers,,Travis Outlaw,recovering from surgery on left foot to repair stress fracture (DNP)
14957,2009-12-09,Bulls,Kirk Hinrich,,activated from IL
14958,2009-12-09,Cavaliers,,Danny Green,placed on IL
14959,2009-12-09,Cavaliers,Jamario Moon,,activated from IL
14960,2009-12-09,Clippers,,Kareem Rush,surgery on right knee to repair torn ACL (out for season)
14961,2009-12-09,Hornets,,Bobby Brown,placed on IL
14962,2009-12-09,Hornets,Morris Peterson,,activated from IL
14963,2009-12-09,Jazz,,Andrei Kirilenko,strained lower back (DNP)
14964,2009-12-09,Jazz,,Kyrylo Fesenko,stomach virus (DNP)
14965,2009-12-09,Jazz,,Ronnie Price,sprained left big toe (DNP)
14966,2009-12-09,Lakers,,Didier Mbenga ,sprained right ankle (DTD)
14967,2009-12-09,Nets,,Bobby Simmons,sore neck (DNP)
14968,2009-12-09,Pacers,,Danny Granger,placed on IL with torn plantar fascia in right foot
14969,2009-12-09,Pacers,,Earl Watson,placed on IL
14970,2009-12-09,Pacers,A.J. Price,,activated from IL
14971,2009-12-09,Pacers,Josh McRoberts,,activated from IL
14972,2009-12-09,Pistons,,Ben Gordon,sprained left ankle (DNP)
14973,2009-12-09,Raptors,,Andrea Bargnani,placed on IL with sore right ankle
14974,2009-12-09,Raptors,Patrick O'Bryant,,activated from IL
14975,2009-12-09,Warriors,,Andris Biedrins,strained lower back (DNP)
14976,2009-12-09,Warriors,,Ronny Turiaf,sprained left knee (DNP)
14977,2009-12-10,Hawks,,Joe Smith ,thumb injury (DTD)
14978,2009-12-10,Jazz,,Andrei Kirilenko,sore lower back (DNP)
14979,2009-12-10,Jazz,,Kyrylo Fesenko,stomach virus (DNP)
14980,2009-12-10,Jazz,,Ronnie Price,sprained left big toe (DNP)
14981,2009-12-10,Magic,,Jameer Nelson,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
14982,2009-12-10,Nuggets,,Kenyon Martin ,placed on IL with dislocated left pinky finger
14983,2009-12-10,Nuggets,Malik Allen,,activated from IL
14984,2009-12-10,Pistons,,Ben Gordon,sprained left ankle (DNP)
14985,2009-12-10,Pistons,,Will Bynum,sprained left ankle (DNP)
14986,2009-12-10,Wizards,,Mike Miller,placed on IL (P)
14987,2009-12-10,Wizards,Nick Young,,activated from IL
14988,2009-12-11,Blazers,,Greg Oden,recovering from surgery on left knee to repair fractured kneecap (DNP)
14989,2009-12-11,Blazers,,Rudy Fernandez,recovering from surgery on back to repair nerve pressure (DNP)
14990,2009-12-11,Blazers,,Travis Outlaw,recovering from surgery on left foot to repair stress fracture (DNP)
14991,2009-12-11,Cavaliers,,Daniel Gibson,placed on IL with sprained right pinkie finger
14992,2009-12-11,Cavaliers,Coby Karl,,activated from IL
14993,2009-12-11,Hawks,,Joe Smith ,placed on IL with dislocated left thumb
14994,2009-12-11,Hawks,Othello Hunter,,activated from IL
14995,2009-12-11,Heat,,Shavlik Randolph,placed on IL
14996,2009-12-11,Magic,,Jameer Nelson,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
14997,2009-12-11,Mavericks,,James Singleton,placed on IL
14998,2009-12-11,Mavericks,Quinton Ross,,activated from IL
14999,2009-12-11,Nets,,Jarvis Hayes,placed on IL (P)
15000,2009-12-11,Nets,,Keyon Dooling,sore hip flexors (DNP)
15001,2009-12-11,Nets,Tony Battie,,activated from IL (P)
15002,2009-12-11,Pacers,,Josh McRoberts,placed on IL
15003,2009-12-11,Pacers,Earl Watson,,activated from IL
15004,2009-12-11,Raptors,,Marcus Banks,placed on IL
15005,2009-12-11,Raptors,,Patrick O'Bryant,placed on IL
15006,2009-12-11,Raptors,Andrea Bargnani,,activated from IL
15007,2009-12-11,Raptors,Jose Calderon,,activated from IL
15008,2009-12-11,Timberwolves,,Brian Cardinal,placed on IL
15009,2009-12-11,Timberwolves,Nathan Jawai,,activated from IL
15010,2009-12-11,Warriors,,Andris Biedrins,osteitis pubis (DNP)
15011,2009-12-11,Warriors,,Ronny Turiaf,sprained left knee (DNP)
15012,2009-12-11,Heat,Daequan Cook,,activated from IL
15013,2009-12-11,Heat,,Daequan Cook,eye injury (DTD)
15014,2009-12-12,Bucks,Michael Redd,,activated from IL
15015,2009-12-12,Mavericks,,Josh Howard,sore left ankle (DTD)
15016,2009-12-12,Nuggets,,Malik Allen,flu (DTD)
15017,2009-12-12,Nuggets,Kenyon Martin ,,activated from IL
15018,2009-12-12,Pistons,Richard Hamilton,,activated from IL
15019,2009-12-13,Clippers,,Brian Skinner,placed on IL
15020,2009-12-13,Clippers,Ricky Davis,,activated from IL
15021,2009-12-13,Hawks,,Marvin Williams,upset stomach (DNP)
15022,2009-12-13,Heat,,Quentin Richardson,placed on IL with sore right hamstring
15023,2009-12-13,Heat,Daequan Cook,,returned to lineup
15024,2009-12-13,Nets,,Chris Douglas-Roberts,placed on IL with sore left knee
15025,2009-12-13,Nets,,Keyon Dooling,sore hip flexors (DNP)
15026,2009-12-13,Nets,,Tony Battie,strained right groin (P) / knee injury (CBC) (DNP)
15027,2009-12-13,Nets,Eduardo Najera,,activated from IL
15028,2009-12-13,Raptors,,Jose Calderon,placed on IL with sore left hip
15029,2009-12-13,Raptors,Marcus Banks,,activated from IL
15030,2009-12-14,Clippers,,DeAndre Jordan,placed on IL
15031,2009-12-14,Clippers,Brian Skinner,,activated from IL
15032,2009-12-14,Jazz,,Kosta Koufos,placed on IL
15033,2009-12-14,Jazz,Kyle Korver,,activated from IL
15034,2009-12-14,Magic,,Jameer Nelson,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
15035,2009-12-14,Mavericks,,Matt Carroll,placed on IL (P)
15036,2009-12-14,Mavericks,Josh Howard,,activated from IL
